0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,target
1137,0,0,1980.0,1,1,1,1,0,1,0,2,2,2,2,0,0,0,0,0,0,3,3,7.0,7.0,3.0,1.0,0,0,0,0,30.0,30.0,30.0,30.0,63.0,63.0,63.0,63.0,4292.0
1277,1,0,1980.25,0,0,0,0,1,1,1,2,2,2,2,0,0,0,0,0,2,0,0,16.0,11.0,31.0,7.0,0,0,0,0,35.0,35.0,35.0,35.0,69.0,69.0,69.0,69.0,4820.0
1292,1,0,1980.25,1,1,1,1,0,0,0,2,2,2,2,0,1,1,0,0,0,0,0,5.0,15.0,14.0,14.0,0,0,0,0,41.0,41.0,41.0,41.0,79.0,79.0,79.0,79.0,4538.0
1441,0,0,1980.0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,2,3,0,6,0,3.0,5.0,18.0,13.0,1,0,0,0,24.0,24.0,41.0,41.0,56.0,56.0,78.0,78.0,4522.0
1465,0,1,1980.5,1,1,1,1,1,0,0,2,2,2,2,0,0,0,0,0,0,0,0,11.0,31.0,14.0,14.0,0,0,0,0,8.0,8.0,8.0,8.0,11.0,11.0,11.0,11.0,4247.0
1499,0,0,1980.5,1,1,1,1,0,1,0,2,2,2,2,0,0,0,0,0,0,3,6,10.0,4.0,1.0,24.0,0,0,0,0,32.0,32.0,32.0,32.0,66.0,66.0,66.0,66.0,4434.0
1552,1,0,1980.0,0,0,0,0,1,1,1,2,2,2,2,1,0,0,0,0,0,2,0,13.0,19.0,14.0,3.0,0,0,0,0,14.0,14.0,14.0,14.0,38.0,38.0,38.0,38.0,4475.0
1561,1,0,1980.5,2,2,2,2,1,1,1,2,2,2,2,1,0,0,0,0,2,0,2,6.0,16.0,8.0,12.0,0,0,0,0,35.0,35.0,35.0,35.0,69.0,69.0,69.0,69.0,4178.0
1617,1,0,1980.0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,4,6,0,0,0.0,16.0,10.0,6.0,0,0,0,0,18.0,18.0,18.0,18.0,43.0,43.0,43.0,43.0,4949.0
1641,1,0,1979.5,2,2,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,6,18.0,13.0,9.0,15.0,0,0,0,1,22.0,22.0,22.0,22.0,52.0,52.0,52.0,52.0,4528.0
1725,0,0,1980.25,1,1,1,1,1,1,1,2,2,2,2,1,1,0,0,0,0,0,3,8.0,14.0,6.0,2.0,0,0,0,0,40.0,40.0,40.0,40.0,76.0,77.0,77.0,77.0,4414.0
1735,1,0,1979.75,0,1,1,1,1,0,1,2,2,2,2,0,1,0,1,0,0,0,0,13.0,16.0,18.0,12.0,0,0,0,0,41.0,41.0,41.0,41.0,79.0,79.0,79.0,79.0,4512.0
1873,1,0,1980.0,1,1,1,1,1,1,0,3,3,3,3,1,0,1,0,0,0,0,0,14.0,5.0,9.0,13.0,0,0,1,0,26.0,26.0,26.0,26.0,59.0,59.0,59.0,59.0,4395.0
1934,1,1,1980.25,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,10.0,5.0,35.0,14.0,1,0,1,0,11.0,11.0,11.0,11.0,27.0,27.0,27.0,27.0,4541.0
1958,0,0,1979.75,0,2,2,2,1,1,1,3,3,3,3,0,1,1,1,0,0,0,0,8.0,8.0,19.0,16.0,0,0,0,0,6.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0,5062.0
1980,0,0,1980.25,2,0,0,0,1,1,1,2,2,2,2,1,0,1,1,0,0,3,0,5.0,12.0,1.0,18.0,0,0,0,0,15.0,15.0,15.0,15.0,39.0,39.0,39.0,39.0,4444.0
2137,1,0,1980.5,1,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,6,6,0,8.0,12.0,13.0,8.0,0,0,0,0,21.0,21.0,21.0,21.0,49.0,50.0,50.0,50.0,4039.0
2193,0,1,1980.0,1,1,1,1,0,1,1,2,2,2,2,0,0,0,1,0,0,0,0,8.0,7.0,15.0,13.0,0,0,0,0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4131.0
